iso_alpha3,year,hisi_score,cluster_raw,cluster_label
ALB,2014,46.86181756638642,2,The Falls
ALB,2015,49.83510278967419,2,The Falls
ALB,2016,48.85448312313368,2,The Falls
ALB,2017,48.51789154348413,2,The Falls
ALB,2018,52.48040196421072,1,The Adapters
ALB,2019,53.6212863142105,1,The Adapters
ALB,2020,56.91610930402082,1,The Adapters
ALB,2021,53.47367398893233,1,The Adapters
ALB,2022,55.42412697259203,1,The Adapters
ALB,2023,54.51029714479654,1,The Adapters
ALB,2024,40.419599598823,1,The Adapters
ALB,2025,40.5552977152482,1,The Adapters
AND,2000,37.02325927843796,1,The Adapters
AND,2001,38.67390903924875,1,The Adapters
AND,2002,39.00584096169577,1,The Adapters
AND,2003,37.82052965754353,1,The Adapters
AND,2004,37.37363077057331,1,The Adapters
AND,2005,38.704866627405934,1,The Adapters
AND,2006,39.090194708256995,1,The Adapters
AND,2007,40.49096336995983,1,The Adapters
AND,2008,38.153817920664565,1,The Adapters
AND,2009,40.43282036996917,1,The Adapters
AND,2010,40.63443377716497,1,The Adapters
AND,2011,44.22946767816078,1,The Adapters
AND,2012,38.27246981895906,1,The Adapters
AND,2013,45.23968165164797,1,The Adapters
AND,2014,34.84570803684814,1,The Adapters
AND,2015,40.90962381172767,1,The Adapters
AND,2016,39.979920823717656,1,The Adapters
AND,2017,41.25164334400736,1,The Adapters
AND,2018,41.049161116431755,1,The Adapters
AND,2019,45.31318196335454,1,The Adapters
AND,2020,36.07311443083435,1,The Adapters
AND,2021,35.85534801722668,1,The Adapters
AND,2022,39.68876550662103,1,The Adapters
AND,2023,46.1173911970875,1,The Adapters
AND,2024,39.90577434024696,1,The Adapters
ARB,2000,34.599635111472345,2,The Falls
ARB,2001,24.885913046933737,2,The Falls
ARB,2002,29.15289331801485,2,The Falls
ARB,2003,27.623535502765563,2,The Falls
ARB,2004,28.049877681326667,2,The Falls
ARB,2005,31.21873989401747,2,The Falls
ARB,2006,24.272784575382058,2,The Falls
ARB,2007,26.26056871572776,2,The Falls
ARB,2008,30.3431754317395,2,The Falls
ARB,2009,29.86773954660294,2,The Falls
ARB,2010,28.47142695435786,2,The Falls
ARB,2011,28.811249542647854,2,The Falls
ARB,2012,31.591408050116073,2,The Falls
ARB,2013,30.503110257936672,1,The Adapters
ARB,2014,32.385045854675674,2,The Falls
ARB,2015,34.3462034232384,2,The Falls
ARB,2016,30.98456263611974,2,The Falls
ARB,2017,32.582167526853056,1,The Adapters
ARB,2018,30.07963828238384,1,The Adapters
ARB,2019,30.206769319287158,1,The Adapters
ARB,2020,31.161673236994385,1,The Adapters
ARB,2021,30.94404905943795,1,The Adapters
ARB,2022,26.912848219510654,1,The Adapters
ARB,2023,27.332670611710036,1,The Adapters
ARB,2024,28.661861817999128,1,The Adapters
ARB,2025,28.705278372109504,1,The Adapters
ARE,2000,42.02266222692216,2,The Falls
ARE,2001,25.256369921968137,2,The Falls
ARE,2002,22.798292146293434,2,The Falls
ARE,2003,22.650500453747146,2,The Falls
ARE,2004,23.288442428640394,2,The Falls
ARE,2005,19.785832210068058,1,The Adapters
ARE,2006,17.016526257904708,1,The Adapters
ARE,2007,20.512046523692902,1,The Adapters
ARE,2008,19.952178103095157,1,The Adapters
ARE,2009,25.27262954628141,1,The Adapters
ARE,2010,25.11607028058855,1,The Adapters
ARE,2011,21.640938797593442,1,The Adapters
ARE,2012,21.09168777771265,1,The Adapters
ARE,2013,23.185980386975185,1,The Adapters
ARE,2014,24.133884524320127,1,The Adapters
ARE,2015,29.722549407426513,1,The Adapters
ARE,2016,31.963993100408985,1,The Adapters
ARE,2017,40.62620778726619,1,The Adapters
ARE,2018,38.39367728922541,1,The Adapters
ARE,2019,43.168986035982726,0,The Wins
ARE,2020,53.22696677318136,0,The Wins
ARE,2021,46.30376093867869,0,The Wins
ARE,2022,31.7137615636646,0,The Wins
ARE,2023,34.419443697232275,0,The Wins
ARE,2024,36.90243777864476,0,The Wins
ARE,2025,33.673239772144214,0,The Wins
ARG,2000,29.62922906139739,2,The Falls
ARG,2001,29.92730246668456,2,The Falls
ARG,2002,27.117839477977018,2,The Falls
ARG,2003,27.63030785186549,2,The Falls
ARG,2004,28.5036975777735,2,The Falls
ARG,2005,31.42430641920914,2,The Falls
ARG,2006,33.22799310920147,2,The Falls
ARG,2007,34.172819502744524,2,The Falls
ARG,2008,38.717008038446984,1,The Adapters
ARG,2009,45.642527561086155,1,The Adapters
ARG,2010,43.985042467117765,1,The Adapters
ARG,2011,48.86521623991787,1,The Adapters
ARG,2012,55.02695085768018,1,The Adapters
ARG,2013,56.80701964465554,1,The Adapters
ARG,2014,56.423508104773646,1,The Adapters
ARG,2015,55.92966695994558,0,The Wins
ARG,2016,56.47506812747183,0,The Wins
ARG,2017,55.619892580155025,1,The Adapters
ARG,2018,52.582251059551275,1,The Adapters
ARG,2019,48.15897150881593,1,The Adapters
ARG,2020,48.8858414483553,0,The Wins
ARG,2021,46.166634161189045,1,The Adapters
ARG,2022,47.328501094350415,1,The Adapters
ARG,2023,47.21929443824322,1,The Adapters
ARG,2024,46.062637713575036,1,The Adapters
ARG,2025,46.12637419904064,1,The Adapters
ARM,2000,36.87435503956083,2,The Falls
ARM,2001,55.63093937351522,2,The Falls
ARM,2002,57.44893529083325,2,The Falls
ARM,2003,59.22566594295279,2,The Falls
ARM,2004,51.08244734881575,2,The Falls
ARM,2005,52.66114046079857,2,The Falls
ARM,2006,62.18038069812509,2,The Falls
ARM,2007,57.95357983626723,2,The Falls
ARM,2008,61.496444414217834,2,The Falls
ARM,2009,68.45140371195238,2,The Falls
ARM,2010,61.966643828799015,2,The Falls
ARM,2011,62.69842226232938,2,The Falls
ARM,2012,59.5570901290295,2,The Falls
ARM,2013,57.0501447639424,2,The Falls
ARM,2014,54.44875134701852,2,The Falls
ARM,2015,55.835880547228165,2,The Falls
ARM,2016,55.63485569823967,2,The Falls
ARM,2017,51.78361771696846,2,The Falls
ARM,2018,47.65656435528912,2,The Falls
ARM,2019,53.892647672698025,2,The Falls
ARM,2020,69.49417272192197,1,The Adapters
ARM,2021,61.09223836589924,2,The Falls
ARM,2022,53.3400262124326,2,The Falls
ARM,2023,58.54107841545941,2,The Falls
ARM,2024,58.22503081415222,2,The Falls
ARM,2025,58.35297670192051,2,The Falls
ASM,2002,42.06373091932577,1,The Adapters
ASM,2003,48.37469841673682,0,The Wins
ASM,2004,46.250688285587174,0,The Wins
ASM,2005,45.68744411603991,2,The Falls
ASM,2006,54.636309649189016,0,The Wins
ASM,2007,46.65453167813935,2,The Falls
ASM,2008,47.83876625445337,2,The Falls
ASM,2009,47.22339827574317,0,The Wins
ASM,2010,46.87443356413612,1,The Adapters
ASM,2011,46.67465194412254,1,The Adapters
ASM,2012,47.08499211456561,1,The Adapters
ASM,2013,39.946757230780406,1,The Adapters
ASM,2014,37.0814657752211,1,The Adapters
ASM,2015,52.76926162142297,0,The Wins
ASM,2016,47.48878024207963,1,The Adapters
ASM,2017,39.92826669174908,1,The Adapters
ASM,2018,46.282079422346264,1,The Adapters
ASM,2019,48.75310195148642,1,The Adapters
ASM,2020,37.912285337913445,1,The Adapters
ASM,2021,53.90876167610713,1,The Adapters
ASM,2022,54.3231971463556,1,The Adapters
ATG,2000,38.03425750955292,2,The Falls
ATG,2001,40.65311353348646,2,The Falls
ATG,2002,41.40692296178064,2,The Falls
ATG,2003,37.02855196668528,2,The Falls
ATG,2004,41.787383004317725,1,The Adapters
ATG,2005,39.20987513469578,1,The Adapters
ATG,2006,33.85543311090705,2,The Falls
ATG,2007,37.46989617784441,2,The Falls
ATG,2008,34.73576735679657,1,The Adapters
ATG,2009,34.567901309637485,1,The Adapters
ATG,2010,39.28929825673585,1,The Adapters
ATG,2011,38.45504762858288,1,The Adapters
ATG,2012,39.68986045592302,1,The Adapters
ATG,2013,39.77621193077508,1,The Adapters
ATG,2014,37.807382099765654,1,The Adapters
ATG,2015,46.492812897397954,1,The Adapters
ATG,2016,39.3177775412525,1,The Adapters
ATG,2017,39.783644141799606,1,The Adapters
ATG,2018,43.10215785129872,1,The Adapters
ATG,2019,34.75955260297901,1,The Adapters
ATG,2020,38.64560883650886,1,The Adapters
ATG,2021,36.65627110220618,1,The Adapters
ATG,2022,44.58739071073231,1,The Adapters
ATG,2023,41.197677600005036,1,The Adapters
ATG,2024,41.60185887112692,1,The Adapters
AUS,2000,51.719221049558584,1,The Adapters
AUS,2001,70.78519490177551,0,The Wins
AUS,2002,69.79861286221826,0,The Wins
AUS,2003,69.68694134355022,0,The Wins
AUS,2004,70.36277003847611,0,The Wins
AUS,2005,68.9684671301772,0,The Wins
AUS,2006,67.85249956191711,0,The Wins
AUS,2007,66.29239477350237,0,The Wins
AUS,2008,59.57133239397593,0,The Wins
AUS,2009,59.76936029255261,0,The Wins
AUS,2010,61.65291903423936,0,The Wins
AUS,2011,63.07738347983178,0,The Wins
AUS,2012,62.980944673332054,0,The Wins
AUS,2013,62.63023128608401,0,The Wins
