iso_alpha3,year,comp_A_raw,comp_B_raw,comp_C_raw,comp_A_norm,comp_B_norm,comp_C_norm,hisi_raw,hisi_score,ai_exposure_proxy,digital_human_capital,social_buffer_index,tech_vulnerability_index,economic_resilience,gini_index,labor_income_share_pct,cluster_raw,cluster_label
ABW,2000,1.4109211398277006,16.40404829885474,21.79674614099755,0.4934976504207212,0.24469189978023514,0.4027885334656585,0.3034072488926553,52.47302333384022,30.496329372133168,61.946000000000005,16.40404829885474,28.52665684770933,4.527577474953159,30.18,42.5816,1,The Adapters
ABW,2001,1.3575187457396047,15.48175215605347,23.28908248191966,0.47144871077756906,0.22858663914748767,0.43221646879993897,0.2820539178191856,49.13252755372411,34.329153411572776,68.708,15.48175215605347,32.159461660162506,4.515508846320003,29.340000000000003,39.829600000000006,1,The Adapters
ABW,2002,1.3116529968454258,16.714477016207034,24.725833481297105,0.4525115236659308,0.25011264824575863,0.46054829611107795,0.2733071383774527,47.76418929707537,37.24751927436671,57.86600000000001,16.714477016207034,33.617502687452465,4.484670191790405,31.7,41.5794,1,The Adapters
ABW,2003,1.3253898305084744,17.06388888220703,18.99224455740186,0.45818322849296383,0.25621412575276925,0.34748552369244246,0.293444328287487,50.914433054661416,24.823150401303387,50.946,17.06388888220703,23.489789771387613,4.490125707116644,29.5,39.099,2,The Falls
ABW,2004,1.5462962962962963,17.831489860534674,23.672147779749952,0.5493917485249054,0.2696180783925044,0.43977027587696244,0.338136747862046,57.906074708992485,34.64975418316349,63.154,17.831489860534674,31.68162852003036,4.528671909536838,27.540000000000003,42.585,1,The Adapters
ABW,2005,1.250767754318618,16.81490883688843,20.424600931599254,0.4273730432559015,0.2518664023523111,0.3757306917552131,0.27046178863400727,47.31906535935199,26.458242386582945,52.40000000000001,16.81490883688843,22.80439254741793,4.578601660223529,31.26,39.099,1,The Adapters
ABW,2006,1.3344368600682592,16.81490883688843,19.52961733866943,0.46191859302333377,0.2518664023523111,0.35808217742518816,0.2929790625968429,50.84164731126233,25.96362468306615,51.696000000000005,16.81490883688843,24.780851760629076,4.560723269344917,29.3,39.099,2,The Falls
ABW,2007,1.1574600355239788,16.89423880438721,20.586791992275888,0.388847874205441,0.25325167302976914,0.3789289976025673,0.24794400217258072,43.79640323262609,28.001069146398788,56.032,16.89423880438721,26.47855021306016,4.571552362983476,33.779999999999994,39.099,1,The Adapters
ABW,2008,1.315578734858681,17.01898894171631,21.315191804108665,0.4541323940779632,0.25543007688772507,0.3932925843975335,0.28474025973032596,49.552776450125236,29.730328732924807,59.926,17.01898894171631,28.304890283627486,4.611302011474457,29.72,39.099,1,The Adapters
ABW,2009,1.2895448548812665,17.98908886771118,23.06707162417306,0.443383448115875,0.27237009368157494,0.42783855412606714,0.2786447780746012,48.5992048186704,33.15936108134412,65.96799999999999,17.98908886771118,30.435717480844676,4.565285614785139,30.32,39.099,1,The Adapters
ABW,2010,1.362334494773519,18.94277891974365,24.22960614849986,0.4734370515925928,0.2890235590253533,0.45076300477947595,0.29783195443397026,51.600829316519814,35.323313534230095,70.39800000000001,18.94277891974365,31.4061911971533,4.538788678387523,28.7,39.099,1,The Adapters
ABW,2011,1.0948358208955224,18.10635886053955,21.78715094853699,0.362991401810874,0.2744178782393255,0.40259932229689827,0.23568013364968765,41.877854744445585,29.494528660715183,56.176,18.10635886053955,26.131550705008976,4.619284312542733,33.5,36.677,1,The Adapters
ABW,2012,1.2895448548812665,18.5389789090625,23.272305765725807,0.443383448115875,0.28197234834179374,0.4318856424937397,0.2808202670437628,48.93953634334771,33.15936108134412,65.968,18.5389789090625,29.81678474251695,4.624914354905122,30.32,39.099,1,The Adapters
ABW,2013,1.4415800135043888,18.14569506546143,21.60868350316978,0.5061561775666982,0.2751047723974707,0.3990800563663404,0.3198922510894422,55.051922152207254,29.24796786955233,59.352,18.14569506546143,26.119026116461196,4.623720414784181,29.62,42.6996,1,The Adapters
ABW,2014,1.1819528415961305,18.042969082402344,23.00508783674259,0.3989605369801738,0.27331095731558513,0.4266162727688025,0.25314994351085096,44.61081598219612,31.199914025104512,61.59000000000001,18.042969082402344,26.26554092991437,4.630134295758565,33.08,39.099,1,The Adapters
ABW,2015,1.3981447963800904,19.351583991275632,18.861859370565988,0.4882225156566912,0.2961621687619336,0.34491440970055015,0.32261751169197345,55.47825945345311,24.35509344938202,44.26800000000001,19.351583991275632,22.554764941603704,4.596626256182429,30.94,43.2586,1,The Adapters
ABW,2016,1.3981447963800904,18.95467427753052,19.012194332386386,0.4882225156566912,0.2892312773802143,0.3478789207250546,0.32026111203764407,55.10962642498224,24.35509344938202,44.26800000000001,18.95467427753052,21.93750201821214,4.585566137064828,30.94,43.2586,1,The Adapters
ABW,2017,1.2295283018867924,16.64750883127504,22.244956063247123,0.4186036348291861,0.24894324069607943,0.4116269516201031,0.2597227642344433,45.63906210525182,30.145997841457188,59.21,16.64750883127504,26.20925610013957,4.616934489849345,31.8,39.099,1,The Adapters
ABW,2018,1.1615864527629232,16.740452422436153,22.158685845444335,0.3905516016543238,0.2505662343207159,0.4099257571097516,0.24403851968127746,43.18543308765769,29.28136804819418,58.578,16.740452422436153,24.324963884975013,4.622039106007117,33.660000000000004,39.099,1,The Adapters
ABW,2019,1.4498952193844141,18.38289854976957,23.83875930013329,0.5095893845548832,0.27924685188852805,0.4430557504133243,0.3171936932645789,54.62976220932345,35.73220669752905,60.682,18.38289854976957,33.284950739463326,4.640937332464286,30.540000000000003,44.27980000000001,1,The Adapters
ABW,2020,1.2604448742746615,16.626725737769572,20.084292896739495,0.4313685613871365,0.24858032349180303,0.36902003104892683,0.2727603235189536,47.67864607569055,26.57143374565697,53.004,16.626725737769572,24.413966182678354,4.488451261575515,31.02,39.099,1,The Adapters
ABW,2021,1.1574600355239788,15.810246426366952,20.586791992275888,0.388847874205441,0.2343228507548507,0.3789289976025673,0.24258988740165965,42.958810365406386,28.001069146398788,56.032,15.810246426366952,26.47855021306016,4.571583574168843,33.779999999999994,39.099,1,The Adapters
ABW,2022,1.102181387077653,13.19739423636695,20.474636177371593,0.3660242610704681,0.18869687059300766,0.3767173553756363,0.21666039580219626,38.90242417579775,28.044812694418408,54.08200000000001,13.19739423636695,26.993143436302795,4.716544965322485,33.739999999999995,37.1876,2,The Falls
ABW,2023,1.3181676846196557,18.31020148636695,27.29330253611536,0.4552013273719409,0.27797740588414754,0.5111771732925264,0.2759961816748564,48.18486079589773,41.807590452473086,64.044,18.31020148636695,34.71687260440802,4.782396562718245,36.02,47.4804,1,The Adapters
