iso_alpha3,year,employment_share_agriculture,employment_share_industry,employment_share_services,employment_to_pop_ratio,gdp_growth_pct,gdp_per_capita_usd,gdp_per_person_employed,gini_index,govt_expenditure_pct_gdp,inflation_cpi_pct,labor_force_participation,rd_expenditure_pct_gdp,trade_openness_pct_gdp,unemployment_rate
SUR,2004,8.43745072687711,24.1001545205134,67.4623947526095,44.722,8.50000018479413,2887.7721728844,60241.0816284759,,,9.98632511974878,49.411,,,9.49
SUR,2005,8.36654366543666,24.3185731857319,67.3142681426814,45.324,4.50000021086888,3453.42865937765,61385.497808355,,,9.89800489561465,49.972,,,9.302
SUR,2006,8.18915109898348,24.6562115805571,67.1546373204594,45.914,5.79354358463304,5002.65798695759,63327.1771320726,,,11.2813043273975,50.533,,98.1681931723564,9.142
SUR,2007,8.05811104027886,24.7931080867689,67.1487808729523,46.487,5.11148777773458,5530.17615638309,64915.4316104458,,,6.42627934470524,51.094,,101.377000372162,9.017
SUR,2008,8.00729490211723,25.1771008463226,66.8156042515601,47.082,4.14340681165626,6576.08546307249,65877.5055784179,,,14.6671427437912,51.655,,109.166838523407,8.854
SUR,2009,7.91199515773457,24.9276714367424,67.1603334055231,47.662,3.01369898266211,7129.5768626291,66124.4440883644,,,-0.133636646714877,52.216,,87.9206617785298,8.72
SUR,2010,7.75353522446546,25.0750702785586,67.1713944969759,49.002,5.16882515225814,7943.60482816915,66674.6955622973,,,6.94108221639996,52.775,,90.9613941465855,7.15
SUR,2011,7.56390546421033,25.4866195898585,66.9494749459312,49.313,5.84936767173009,7949.88867218383,69081.1196876739,,,17.7117796414558,53.335,,,7.54
SUR,2012,7.50744614001298,25.3194304660798,67.1726125095152,49.528,2.69034974668847,8851.24050668908,69542.5231271977,,,5.00686319367273,53.893,,,8.1
SUR,2013,7.41522415101731,25.3507332957912,67.2340425531915,50.856,2.9334416518612,9043.19281529222,68612.482996511,,,1.92343604108305,54.45,,,6.6
SUR,2014,7.46190779364388,25.3842729331119,67.1538192732443,51.189,0.255503031645475,9108.18905406764,67244.1058361484,,,3.38341272749477,55.006,,,6.94
